ts,ts_iso,mode,baseUrl,count,totalTime_s,totalBytes_B,wifiBytes_B,cellBytes_B,success,fail
1757254542369,2025-09-07T14:15:42.369000Z,AUTO_SWITCH,http://139.224.130.188/images,50,10.671,68265283,68265283,0,50,0
1757254551365,2025-09-07T14:15:51.365000Z,AUTO_SWITCH,http://139.224.130.188/images,50,8.993,68265283,68265283,0,50,0
1757254561762,2025-09-07T14:16:01.762000Z,AUTO_SWITCH,http://139.224.130.188/images,50,10.392,68265283,68265283,0,50,0
1757255139756,2025-09-07T14:25:39.756000Z,AUTO_SWITCH,http://139.224.130.188/images,50,577.987,65686917,65686917,0,48,2
1757255151505,2025-09-07T14:25:51.505000Z,AUTO_SWITCH,http://139.224.130.188/images,50,11.746,68265283,68265283,0,50,0
