ts,mode,url,t_s,bytes_B,path
1757254390936,WIFI_ONLY,http://139.224.130.188/images/img_001.jpg,0.868,3386063,wifi
1757254390936,WIFI_ONLY,http://139.224.130.188/images/img_002.jpg,0.048,126035,wifi
1757254390936,WIFI_ONLY,http://139.224.130.188/images/img_003.jpg,0.108,483004,wifi
1757254390936,WIFI_ONLY,http://139.224.130.188/images/img_004.jpg,0.087,463239,wifi
1757254390936,WIFI_ONLY,http://139.224.130.188/images/img_005.jpg,0.078,483004,wifi
1757254390936,WIFI_ONLY,http://139.224.130.188/images/img_006.jpg,0.185,1120546,wifi
1757254390936,WIFI_ONLY,http://139.224.130.188/images/img_007.jpg,0.087,462391,wifi
1757254390936,WIFI_ONLY,http://139.224.130.188/images/img_008.jpg,0.077,424404,wifi
1757254390936,WIFI_ONLY,http://139.224.130.188/images/img_009.jpg,0.069,368716,wifi
1757254390936,WIFI_ONLY,http://139.224.130.188/images/img_010.jpg,0.388,2758274,wifi
1757254390936,WIFI_ONLY,http://139.224.130.188/images/img_011.jpg,0.362,2579938,wifi
1757254390936,WIFI_ONLY,http://139.224.130.188/images/img_012.jpg,0.211,1671708,wifi
1757254390936,WIFI_ONLY,http://139.224.130.188/images/img_013.jpg,0.124,898869,wifi
1757254390936,WIFI_ONLY,http://139.224.130.188/images/img_014.jpg,0.114,800679,wifi
1757254390936,WIFI_ONLY,http://139.224.130.188/images/img_015.jpg,0.103,814703,wifi
1757254390936,WIFI_ONLY,http://139.224.130.188/images/img_016.jpg,0.265,2066266,wifi
1757254390936,WIFI_ONLY,http://139.224.130.188/images/img_017.jpg,0.148,1163596,wifi
1757254390936,WIFI_ONLY,http://139.224.130.188/images/img_018.jpg,0.224,1637881,wifi
1757254390936,WIFI_ONLY,http://139.224.130.188/images/img_019.jpg,0.256,1805036,wifi
1757254390936,WIFI_ONLY,http://139.224.130.188/images/img_020.jpg,0.243,1794707,wifi
1757254390936,WIFI_ONLY,http://139.224.130.188/images/img_021.jpg,0.309,2164282,wifi
