ts,ts_iso,mode,baseUrl,count,totalTime_s,totalBytes_B,wifiBytes_B,cellBytes_B,success,fail
1757254390936,2025-09-07T14:13:10.936000Z,WIFI_ONLY,http://139.224.130.188/images,50,10.266,68265283,68265283,0,50,0
1757254399878,2025-09-07T14:13:19.878000Z,WIFI_ONLY,http://139.224.130.188/images,50,8.94,68265283,68265283,0,50,0
1757254409545,2025-09-07T14:13:29.545000Z,WIFI_ONLY,http://139.224.130.188/images,50,9.665,68265283,68265283,0,50,0
1757254419000,2025-09-07T14:13:39Z,WIFI_ONLY,http://139.224.130.188/images,50,9.452,68265283,68265283,0,50,0
1757254429928,2025-09-07T14:13:49.928000Z,WIFI_ONLY,http://139.224.130.188/images,50,10.924,67206118,67206118,0,49,1
